Feature,coefficient,p-value
O.IE,-0.01834083350272347,0.8248496577425635
O.KC,0.04488392108694385,0.21382068556635603
O.SE,-0.07812757866733533,0.0208332053853435
O.IG,-0.023242033320288135,0.5193837954244191
O.FC,0.07676352678377832,0.009750204168194054
O.H,-0.01635709868916849,0.002106027836777935
O.CF,-0.017157431473661798,0.1573769436742003
O.ERGB,0.05797202879115276,0.0008508467203991454
O.ED,0.3586739664156308,0.0
O.FP,0.23737305932973007,1.6608936448392342e-13
O.TiR,-0.12420658618219266,0.002923857980611011
O.MeC,0.2811719690502859,0.0
